latitude,longitude,FSA_postal_code
43.6705899861039,-79.4525399801566,M6N
43.694226238444,-79.274524886635,M1L
43.6430192486105,-79.4242782166371,M6J
43.6512967965549,-79.3788313605515,M5C
43.7042499909663,-79.4111400001734,M5N
43.6582987896989,-79.4414218055468,M6H
43.6587800102582,-79.351409971412,M4M
43.7749930858096,-79.4693253963586,M3H
43.6655375187546,-79.4729420255352,M6P
43.6532979,-79.3735043,M5C
43.6479902745108,-79.4001152560447,M5V
43.7177391825238,-79.5969332521282,M9W
43.6532471451613,-79.4000586028047,M5T
43.6478899901956,-79.390929974332,M5V
43.7803600187322,-79.2980500214259,M1T
43.7347040946104,-79.257435779618,M1K
43.7587346877776,-79.5698692167753,M9L
43.6428421906918,-79.4256670942351,M6J
43.670560020800004,-79.3907100331926,M5R
43.7084070138785,-79.2501327649315,M1N
43.6556062234404,-79.4120372334237,M6G
43.7914900126827,-79.2515400141718,M1S
43.7457929030819,-79.6324758338625,M9W
43.7316211762651,-79.4624980644006,M3K
43.5934769003406,-79.5378053773156,M8W
43.7898337651913,-79.3020536172888,M1T
43.6614571140861,-79.338409155433,M4M
43.5928028748054,-79.5407842934965,M8W
43.7728247104855,-79.4798360579953,M3J
43.6477399960383,-79.3962000121345,M5V
43.6002050435686,-79.5445709067746,M8W
43.7030497929483,-79.4768003308614,M6M
43.6555699927991,-79.3986000024707,M5T
43.6887157260661,-79.3485187930638,M4K
43.6487286979921,-79.3732000152348,M5E
43.7543099856723,-79.3495800343107,M3B
43.6450522928327,-79.4147385585723,M6J
43.694780132408,-79.4545249550464,M6E
43.6228500183778,-79.5192099732902,M8Z
43.6915999807844,-79.288210002374,M4C
43.6398299940116,-79.4219099913826,M6K
43.6492963652548,-79.4501685016448,M6R
43.664059980616,-79.4169899818567,M6G
43.6602868020949,-79.4331867053783,M6H
43.7373721762651,-79.4343364776674,M3H
43.8151065001141,-79.2328553697534,M1B
43.7671744782349,-79.4741025004945,M3J
43.6900600156235,-79.5716500094028,M9W
43.6461018276301,-79.4092855917249,M6J
43.7359700043388,-79.6009300088514,M9V
43.6988841020387,-79.512972976091,M9N
43.8271499815523,-79.2911200315184,M1V
43.6511699965462,-79.4106700268624,M6J
43.704759987865,-79.5045599991011,M9N
43.6238671834784,-79.5138645061168,M8Z
43.6931399878548,-79.4626499803097,M6E
43.6244100162873,-79.5125000083412,M8Z
43.6483999870943,-79.3989800379607,M5V
43.8352300104849,-79.2554199971517,M1V
43.6713500151743,-79.2948899601097,M4E
43.7670299847457,-79.2817100040995,M1P
43.6016000078999,-79.500880008331,M8V
43.6645700194242,-79.4130400099852,M6G
43.6940561507298,-79.4577073086444,M6E
43.6266600124662,-79.4771100205728,M8V
43.6532200005153,-79.3566999581441,M5A
43.7368552,-79.437742,M3H
43.6717799897282,-79.4138659771192,M5R
43.6475400038285,-79.3736500103835,M5E
43.7366261507298,-79.4378095870217,M3H
43.7470699910759,-79.2853999693344,M1R
43.6500800138573,-79.5278300063349,M9A
43.6915200174281,-79.3155400358679,M4C
43.7696000019878,-79.5216999852665,M3N
43.6621483127993,-79.3530572232675,M4M
43.6968600022126,-79.3172299951861,M4C
43.7673300149698,-79.4697799624269,M3J
43.6870799975875,-79.5979100091373,M9W
43.6165000142607,-79.4881700256319,M8V
43.732678296099,-79.5331735689899,M9M
43.7645196,-79.5730019,M9L
43.7985699967475,-79.1480299640205,M1B
43.6915200174281,-79.4669499804578,M6M
43.6654499935291,-79.3843400382364,M4Y
43.6637398787005,-79.3279346441803,M4L
43.7715099862644,-79.2526999857522,M1P
43.6772100132318,-79.3038399886823,M4L
43.6555399855857,-79.3854900353521,M5G
43.7962160304187,-79.4196613049942,M2M
43.6493665434244,-79.4228135245543,M6J
43.6461999889678,-79.4099699703092,M6J
43.7079700053241,-79.3105900191286,M4B
43.6659799812669,-79.4064899717488,M5S
43.7588300107787,-79.5703300272908,M9L
43.8361399918032,-79.2503799587723,M1X
43.7294000171727,-79.574149995844,M9W
43.7053400155647,-79.3892000333356,M4S
43.6973157454845,-79.3293338061629,M4C
43.7682800198757,-79.4122299828624,M2N
43.6481699876712,-79.3897799772163,M5H
43.7756899994685,-79.1757500074691,M1E
43.6804999940472,-79.2852899987648,M4E
43.6516700189801,-79.3672200010005,M5A
43.649659895195,-79.3925220192328,M5V
43.6556461834784,-79.3841762874083,M5G
43.6655145004327,-79.4715920255352,M6P
43.6872618479706,-79.3557033128847,M4K
43.7141735620347,-79.3999069176815,M4P
43.6817119042358,-79.4250942279993,M6C
43.668376533646,-79.4410644966736,M6H
43.6804220224768,-79.3909845137629,M4W
43.7092230180334,-79.5343123995612,M9N
43.7063699838269,-79.3890800044821,M4S
43.7095098348434,-79.3845554568354,M4P
43.6870058098851,-79.4385998768828,M6E
43.7435099872498,-79.2187299762008,M1J
43.6697902969876,-79.4838509581631,M6N
43.7138100125426,-79.2716799673027,M1L
43.6707900202231,-79.2956500310896,M4E
43.6301400110266,-79.4865499713861,M8Y
43.6568871468347,-79.3754272975359,M5B
43.6171600053167,-79.4878899862468,M8V
43.654721950603,-79.4020472150732,M5T
43.7874506516798,-79.4689018567744,M3H
43.7210500071389,-79.5369999760468,M9M
43.6875099892204,-79.4239899606556,M6C
43.7153718332766,-79.4471783464519,M6A
43.7257999897589,-79.4805600119198,M3M
43.6494734932193,-79.4252520524554,M6J
43.682070008331,-79.4697900207107,M6M
43.6687908276301,-79.3054945377402,M4L
43.6633532123319,-79.3724585759132,M5A
43.7433000205752,-79.2826600090054,M1P
43.7662300159066,-79.282160028481,M1P
43.6524199897667,-79.432289972637,M6H
43.6528301265796,-79.4495992431186,M6R
43.7187599873723,-79.4554599837658,M6A
43.6589450677189,-79.3820937299612,M5B
43.7350800138596,-79.6019299699003,M9V
43.7755406708782,-79.3451804463601,M2J
43.657015031675,-79.4343163685997,M6H
43.7056599947185,-79.3618900325903,M4G
43.6548258348434,-79.4593464313002,M6P
43.6829092378671,-79.4199190176294,M6C
43.6536699829873,-79.3800699614827,M5B
43.6975061579432,-79.4419778129435,M6E
43.6655451468347,-79.4094090971492,M5S
43.6977393424895,-79.5024570837035,M9N
43.7214528348434,-79.5103159823706,M3L
43.6655768412488,-79.3808376567894,M4Y
43.6804613953831,-79.3122563414798,M4L
43.6551914923539,-79.4184868920307,M6G
43.6720091579432,-79.470536594235,M6N
43.7639237943046,-79.4889137525536,M3J
43.7136399856366,-79.3654299617584,M4G
43.660140015958,-79.4807500296648,M6S
43.7685899826552,-79.3814399835567,M2K
43.7686199898685,-79.5525400245341,M9L
43.7954999989809,-79.2317800127118,M1B
43.6451771723699,-79.3896996525189,M5V
43.7436561251946,-79.2170275644006,M1J
43.6145500063964,-79.556659981402,M9C
43.6590699821986,-79.4880899784565,M6S
43.6099117516841,-79.5607194560218,M9C
43.6440499888938,-79.4008500405591,M5V
43.660143478176,-79.3438888432225,M4M
